Activity Date,Registered,Regi. Daily Change,Reg. Monthly Change,Reg. Monthly Change (In Millions),Eligible,Total,Daily Change,Month Change,Month Change (in Millions),% Registered of Total,Total (In Millions),% of Start
2/2/2026,103070933.0,-,-,-,300786595.0,403857528.0,-,-,-,25.52%,404.0,100%
2/3/2026,104058699.0,987766.000,987766.000,0.988,296732212.0,400790911.0,-3066617.000,-3066617.000,-3.067,25.96%,401.0,99%
2/4/2026,103531742.0,-526957.000,460809.000,0.461,294477741.0,398009483.0,-2781428.000,-5848045.000,-5.848,26.01%,398.0,99%
2/5/2026,102547548.504,-984193.496,-523384.496,-0.523,291963859.786,394511408.29,-3498074.710,-9346119.710,-9.346,25.99%,395.0,98%
2/6/2026,102256628.854,-290919.650,-814304.146,-0.814,288209377.629,390466006.483,-4045401.807,-13391521.517,-13.392,26.19%,390.0,97%
2/9/2026,101394888.432,-861740.422,-1676044.568,-1.676,284878136.493,386273024.925,-4192981.558,-17584503.075,-17.585,26.25%,386.0,96%
2/10/2026,98138005.502,-3256882.930,-4932927.498,-4.933,283430797.753,381568803.255,-4704221.670,-22288724.745,-22.289,25.72%,382.0,94%
2/11/2026,93030184.0,-5107821.502,-10040749.000,-10.041,286202821.0,379233005.0,-2335798.255,-24624523.000,-24.625,24.53%,379.0,94%
2/12/2026,92899967.112,-130216.888,-10170965.888,-10.171,283535021.494,376434988.606,-2798016.394,-27422539.394,-27.423,24.68%,376.0,93%
2/13/2026,92154869.452,-745097.660,-10916063.548,-10.916,279818620.954,371973490.406,-4461498.200,-31884037.594,-31.884,24.77%,372.0,92%
2/18/2026,88191059.264,-3963810.188,-14879873.736,-14.88,279235569.023,367426628.287,-4546862.119,-36430899.713,-36.431,24.0%,367.0,91%
